imageNames	Longitude(deg)	Latitude(deg)	Altitude_asl(m)	bearing	Pitch(deg)	Roll(deg)	image	exposure	speed	hdop	Heading(deg)	gyro	dateTimeUTC	dateTime	isRaw	likely_turn
ids_band_670_1591033268634.png	-102.3426634227248	34.13632692405029	4309.4874962846225	346.40639002019753	2.3364577293395996	22.007169723510746	/media/DATA/2020-06-01_14-40-17_falcon/ids_band_670_1591033268634.png	2.5	66.2724689186251	0.8799999952316284	-9.390572547912598	9.855588912963867	2020-06-01 17:41:08.650000+00:00	2020-06-01 12:41:08.650	True	False
ids_band_670_1591033270404.png	-102.3428222915386	34.13736464014316	4313.137493258342	348.6319079675261	2.4031858444213867	21.409332275390625	/media/DATA/2020-06-01_14-40-17_falcon/ids_band_670_1591033270404.png	2.5	65.84783709656418	0.8899999856948853	-0.7748528718948364	17.875621795654297	2020-06-01 17:41:10.420000+00:00	2020-06-01 12:41:10.420	True	False
ids_band_670_1591033272141.png	-102.34285199332426	34.138362687648694	4317.129344236164	352.8005994235393	1.0281007289886477	8.402370452880861	/media/DATA/2020-06-01_14-40-17_falcon/ids_band_670_1591033272141.png	2.5	65.59024023531259	0.9099999666213988	0.5433036684989929	14.43547248840332	2020-06-01 17:41:12.157000+00:00	2020-06-01 12:41:12.157	True	False
ids_band_670_1591033273911.png	-102.3428408448457	34.13936548966292	4318.974961307176	357.2331287445231	-0.2441023290157318	-0.305746465921402	/media/DATA/2020-06-01_14-40-17_falcon/ids_band_670_1591033273911.png	2.5	64.713282695081	0.9099999666213988	0.080935999751091	5.7575178146362305	2020-06-01 17:41:13.927000+00:00	2020-06-01 12:41:13.927	True	False
ids_band_670_1591033275648.png	-102.34284814157387	34.140365107145435	4319.482741580745	359.59144797019155	-0.998387575149536	-5.2734575271606445	/media/DATA/2020-06-01_14-40-17_falcon/ids_band_670_1591033275648.png	2.5	64.26933459013242	0.9899999499320984	-5.208878517150879	12.335598945617676	2020-06-01 17:41:15.664000+00:00	2020-06-01 12:41:15.664	True	False
ids_band_670_1591033277385.png	-102.34290850652089	34.14135335782958	4319.90235954606	359.1039685159523	-0.17450706660747528	1.0727698802947998	/media/DATA/2020-06-01_14-40-17_falcon/ids_band_670_1591033277385.png	2.5	63.81070259231999	0.9899999499320984	-7.898169994354247	13.616591453552244	2020-06-01 17:41:17.401000+00:00	2020-06-01 12:41:17.401	True	False
ids_band_670_1591033279156.png	-102.34300222188931	34.14235608764869	4319.930955949012	357.44278402719465	-0.3516433835029602	0.723872721195221	/media/DATA/2020-06-01_14-40-17_falcon/ids_band_670_1591033279156.png	2.5	63.45578274029283	0.9099999666213988	-3.1922817230224614	8.679267883300781	2020-06-01 17:41:19.172000+00:00	2020-06-01 12:41:19.172	True	False
ids_band_670_1591033280893.png	-102.3431016122201	34.143356106123356	4319.622479093689	355.98793621301013	-0.5159289836883545	-0.9784252047538756	/media/DATA/2020-06-01_14-40-17_falcon/ids_band_670_1591033280893.png	2.5	63.440271886367846	0.9099999666213988	-2.60506820678711	3.299588441848755	2020-06-01 17:41:20.909000+00:00	2020-06-01 12:41:20.909	True	False
ids_band_670_1591033282663.png	-102.34320140752071	34.14437785449211	4319.575513002586	355.41750274752445	0.2318539023399353	0.2460821270942688	/media/DATA/2020-06-01_14-40-17_falcon/ids_band_670_1591033282663.png	2.5	63.346523696646344	0.9099999666213988	2.5293996334075928	7.287587642669678	2020-06-01 17:41:22.679000+00:00	2020-06-01 12:41:22.679	True	False
ids_band_670_1591033284400.png	-102.34327804828804	34.145365739809435	4320.792826609744	355.6624403678595	0.5912705659866333	0.7356433868408203	/media/DATA/2020-06-01_14-40-17_falcon/ids_band_670_1591033284400.png	2.5	63.931837844736876	0.9099999666213988	3.162675380706787	5.450308799743652	2020-06-01 17:41:24.416000+00:00	2020-06-01 12:41:24.416	True	False
ids_band_670_1591033286170.png	-102.34333220272491	34.14637468239638	4322.808296064351	356.3824612481723	0.8045228123664856	-2.853928327560425	/media/DATA/2020-06-01_14-40-17_falcon/ids_band_670_1591033286170.png	2.5	63.716339660489346	0.9099999666213988	1.0631648302078247	20.288005828857425	2020-06-01 17:41:26.186000+00:00	2020-06-01 12:41:26.186	True	False
ids_band_670_1591033287907.png	-102.34339419187229	34.14734769641045	4325.399889430089	356.92484070593855	1.7319364547729492	-10.622912406921387	/media/DATA/2020-06-01_14-40-17_falcon/ids_band_670_1591033287907.png	2.5	63.69297772989652	0.9099999666213988	-1.98583722114563	9.81668472290039	2020-06-01 17:41:27.923000+00:00	2020-06-01 12:41:27.923	True	False
ids_band_670_1591033289644.png	-102.34351561996155	34.148325134841365	4329.403336110001	356.1990220265089	1.929845094680786	-13.43008041381836	/media/DATA/2020-06-01_14-40-17_falcon/ids_band_670_1591033289644.png	2.5	63.32299695515511	0.9099999666213988	-5.283563613891602	3.7311336994171143	2020-06-01 17:41:29.660000+00:00	2020-06-01 12:41:29.660	True	False
ids_band_670_1591033291415.png	-102.34371150227491	34.149299499606755	4332.77351398312	353.8742290154733	0.4656567573547363	-14.49770736694336	/media/DATA/2020-06-01_14-40-17_falcon/ids_band_670_1591033291415.png	2.5	62.724830923239516	0.9099999666213988	-9.69363784790039	4.69975471496582	2020-06-01 17:41:31.431000+00:00	2020-06-01 12:41:31.431	True	False
